locus_tag	ftype	length_bp	gene	EC_number	COG	product
IENKKHDG_00001	CDS	174				hypothetical protein
IENKKHDG_00002	CDS	123				hypothetical protein
IENKKHDG_00003	CDS	129				hypothetical protein
IENKKHDG_00004	CDS	174				hypothetical protein
IENKKHDG_00005	CDS	174				hypothetical protein
IENKKHDG_00006	CDS	123				hypothetical protein
IENKKHDG_00007	CDS	129				hypothetical protein
IENKKHDG_00008	CDS	174				hypothetical protein
IENKKHDG_00009	CDS	174				hypothetical protein
IENKKHDG_00010	CDS	123				hypothetical protein
IENKKHDG_00011	CDS	129				hypothetical protein
IENKKHDG_00012	CDS	174				hypothetical protein
IENKKHDG_00013	CDS	123				hypothetical protein
IENKKHDG_00014	CDS	129				hypothetical protein
IENKKHDG_00015	CDS	174				hypothetical protein
IENKKHDG_00016	CDS	123				hypothetical protein
IENKKHDG_00017	CDS	129				hypothetical protein
IENKKHDG_00018	CDS	174				hypothetical protein
IENKKHDG_00019	CDS	123				hypothetical protein
IENKKHDG_00020	CDS	129				hypothetical protein
IENKKHDG_00021	CDS	174				hypothetical protein
IENKKHDG_00022	CDS	123				hypothetical protein
IENKKHDG_00023	CDS	129				hypothetical protein
IENKKHDG_00024	CDS	174				hypothetical protein
IENKKHDG_00025	CDS	123				hypothetical protein
IENKKHDG_00026	CDS	129				hypothetical protein
IENKKHDG_00027	CDS	180				hypothetical protein
IENKKHDG_00028	CDS	105				hypothetical protein
IENKKHDG_00029	CDS	129				hypothetical protein
IENKKHDG_00030	CDS	174				hypothetical protein
IENKKHDG_00031	CDS	123				hypothetical protein
IENKKHDG_00032	CDS	129				hypothetical protein
IENKKHDG_00033	CDS	174				hypothetical protein
IENKKHDG_00034	CDS	174				hypothetical protein
IENKKHDG_00035	CDS	123				hypothetical protein
IENKKHDG_00036	CDS	129				hypothetical protein
IENKKHDG_00037	CDS	174				hypothetical protein
IENKKHDG_00038	CDS	123				hypothetical protein
IENKKHDG_00039	CDS	129				hypothetical protein
IENKKHDG_00040	CDS	174				hypothetical protein
IENKKHDG_00041	CDS	123				hypothetical protein
IENKKHDG_00042	CDS	129				hypothetical protein
IENKKHDG_00043	CDS	174				hypothetical protein
IENKKHDG_00044	CDS	123				hypothetical protein
IENKKHDG_00045	CDS	129				hypothetical protein
IENKKHDG_00046	CDS	174				hypothetical protein
IENKKHDG_00047	CDS	123				hypothetical protein
IENKKHDG_00048	CDS	129				hypothetical protein
IENKKHDG_00049	CDS	174				hypothetical protein
IENKKHDG_00050	CDS	174				hypothetical protein
IENKKHDG_00051	CDS	123				hypothetical protein
IENKKHDG_00052	CDS	129				hypothetical protein
IENKKHDG_00053	CDS	174				hypothetical protein
IENKKHDG_00054	CDS	174				hypothetical protein
IENKKHDG_00055	CDS	123				hypothetical protein
IENKKHDG_00056	CDS	129				hypothetical protein
IENKKHDG_00057	CDS	174				hypothetical protein
IENKKHDG_00058	CDS	123				hypothetical protein
IENKKHDG_00059	CDS	129				hypothetical protein
IENKKHDG_00060	CDS	174				hypothetical protein
IENKKHDG_00061	CDS	123				hypothetical protein
IENKKHDG_00062	CDS	129				hypothetical protein
IENKKHDG_00063	CDS	174				hypothetical protein
IENKKHDG_00064	CDS	123				hypothetical protein
IENKKHDG_00065	CDS	129				hypothetical protein
IENKKHDG_00066	CDS	174				hypothetical protein
IENKKHDG_00067	CDS	174				hypothetical protein
IENKKHDG_00068	CDS	174				hypothetical protein
IENKKHDG_00069	CDS	123				hypothetical protein
IENKKHDG_00070	CDS	114				hypothetical protein
IENKKHDG_00071	CDS	174				hypothetical protein
IENKKHDG_00072	CDS	174				hypothetical protein
IENKKHDG_00073	CDS	123				hypothetical protein
IENKKHDG_00074	CDS	129				hypothetical protein
IENKKHDG_00075	CDS	174				hypothetical protein
IENKKHDG_00076	CDS	174				hypothetical protein
IENKKHDG_00077	CDS	123				hypothetical protein
IENKKHDG_00078	CDS	129				hypothetical protein
IENKKHDG_00079	CDS	174				hypothetical protein
IENKKHDG_00080	CDS	174				hypothetical protein
IENKKHDG_00081	CDS	123				hypothetical protein
IENKKHDG_00082	CDS	129				hypothetical protein
IENKKHDG_00083	CDS	174				hypothetical protein
IENKKHDG_00084	CDS	174				hypothetical protein
IENKKHDG_00085	CDS	123				hypothetical protein
IENKKHDG_00086	CDS	129				hypothetical protein
IENKKHDG_00087	CDS	174				hypothetical protein
IENKKHDG_00088	CDS	123				hypothetical protein
IENKKHDG_00089	CDS	129				hypothetical protein
IENKKHDG_00090	CDS	174				hypothetical protein
IENKKHDG_00091	CDS	174				hypothetical protein
IENKKHDG_00092	CDS	180				hypothetical protein
IENKKHDG_00093	CDS	105				hypothetical protein
IENKKHDG_00094	CDS	129				hypothetical protein
IENKKHDG_00095	CDS	174				hypothetical protein
IENKKHDG_00096	CDS	123				hypothetical protein
IENKKHDG_00097	CDS	129				hypothetical protein
IENKKHDG_00098	CDS	174				hypothetical protein
IENKKHDG_00099	CDS	123				hypothetical protein
IENKKHDG_00100	CDS	129				hypothetical protein
IENKKHDG_00101	CDS	174				hypothetical protein
IENKKHDG_00102	CDS	123				hypothetical protein
IENKKHDG_00103	CDS	129				hypothetical protein
IENKKHDG_00104	CDS	174				hypothetical protein
IENKKHDG_00105	CDS	123				hypothetical protein
IENKKHDG_00106	CDS	129				hypothetical protein
IENKKHDG_00107	CDS	174				hypothetical protein
IENKKHDG_00108	CDS	174				hypothetical protein
IENKKHDG_00109	CDS	123				hypothetical protein
IENKKHDG_00110	CDS	129				hypothetical protein
IENKKHDG_00111	CDS	174				hypothetical protein
IENKKHDG_00112	CDS	174				hypothetical protein
IENKKHDG_00113	CDS	123				hypothetical protein
IENKKHDG_00114	CDS	129				hypothetical protein
IENKKHDG_00115	CDS	174				hypothetical protein
IENKKHDG_00116	CDS	123				hypothetical protein
IENKKHDG_00117	CDS	129				hypothetical protein
IENKKHDG_00118	CDS	174				hypothetical protein
IENKKHDG_00119	CDS	123				hypothetical protein
IENKKHDG_00120	CDS	129				hypothetical protein
IENKKHDG_00121	CDS	174				hypothetical protein
IENKKHDG_00122	CDS	174				hypothetical protein
IENKKHDG_00123	CDS	174				hypothetical protein
IENKKHDG_00124	CDS	123				hypothetical protein
IENKKHDG_00125	CDS	129				hypothetical protein
IENKKHDG_00126	CDS	174				hypothetical protein
IENKKHDG_00127	CDS	123				hypothetical protein
IENKKHDG_00128	CDS	129				hypothetical protein
IENKKHDG_00129	CDS	174				hypothetical protein
IENKKHDG_00130	CDS	123				hypothetical protein
IENKKHDG_00131	CDS	129				hypothetical protein
IENKKHDG_00132	CDS	174				hypothetical protein
IENKKHDG_00133	CDS	174				hypothetical protein
IENKKHDG_00134	CDS	123				hypothetical protein
IENKKHDG_00135	CDS	129				hypothetical protein
IENKKHDG_00136	CDS	174				hypothetical protein
IENKKHDG_00137	CDS	123				hypothetical protein
IENKKHDG_00138	CDS	129				hypothetical protein
IENKKHDG_00139	CDS	174				hypothetical protein
IENKKHDG_00140	CDS	129				hypothetical protein
IENKKHDG_00141	CDS	180				hypothetical protein
IENKKHDG_00142	CDS	138				hypothetical protein
IENKKHDG_00143	CDS	129				hypothetical protein
IENKKHDG_00144	CDS	174				hypothetical protein
IENKKHDG_00145	CDS	123				hypothetical protein
IENKKHDG_00146	CDS	129				hypothetical protein
IENKKHDG_00147	CDS	174				hypothetical protein
IENKKHDG_00148	CDS	174				hypothetical protein
IENKKHDG_00149	CDS	174				hypothetical protein
IENKKHDG_00150	CDS	174				hypothetical protein
IENKKHDG_00151	CDS	123				hypothetical protein
IENKKHDG_00152	CDS	129				hypothetical protein
IENKKHDG_00153	CDS	174				hypothetical protein
IENKKHDG_00154	CDS	180				hypothetical protein
IENKKHDG_00155	CDS	105				hypothetical protein
IENKKHDG_00156	CDS	129				hypothetical protein
IENKKHDG_00157	CDS	174				hypothetical protein
IENKKHDG_00158	CDS	123				hypothetical protein
IENKKHDG_00159	CDS	129				hypothetical protein
IENKKHDG_00160	CDS	174				hypothetical protein
IENKKHDG_00161	CDS	174				hypothetical protein
